Summary,Issue key,Issue Type,Status,Priority,Resolution,Created,Resolved,Fix versions,Labels,Labels,Labels,Labels,Description,Environment,Custom field (Severity),Sprint,Sprint,Sprint,Custom field (Story Points)
Cardstream reseller ID issue (error 500),OBN1-19886,Bug,Done,P3,Done,1/15/2025 13:45,5/8/2025 14:07,OBN 1.84,,,,,"Scenario:

# A Referrer doesn’t have a Cardstream Reseller ID.
# An Application is submitted and has reached the step “Create Merchant records in gateway”

Expected result: 

# The step fails and a notification is sent: “Cannot sync customer for merchant id […], because referrer id […] doesn’t have CS reseller id”

Actual result:

# The step fails with a notification: error 500.",,,141,,,1
[OBMC] RTP could not be created for amount 1.000.000,OBN1-19858,Bug,Done,P3,Done,1/3/2025 15:44,5/2/2025 10:13,OBN 1.84,OBMC,Payment,,,"Bug found in regression test {{@OBN1-18667 @OBN1-18801}}

*Steps to reproduce:* 

# Trigger RTP from gateway for 1000000.00 to endpoint /gateway/mpa/{{mpaUuid}}/payments

*Expected*: payment is created successfully

*Actual*: 

{noformat}{
    ""errors"": {
        ""amount"": [
            {
                ""code"": ""04b91c99-a946-4221-afc5-e65ebac401eb"",
                ""detail"": ""This value should be between 0.01 and 100000.""
            }
        ]
    }
}{noformat}",,,141,,,1
Missing Card Types in Moneris fixtures,OBN1-19573,Bug,Done,P3,Done,12/5/2024 11:06,2/28/2025 12:08,OBN 1.79,Moneris,MonerisMVP2,,,"*Steps to reproduce:*

# Run fixtures for Moneris Operator on an empty db. (command: export OP_NAME_CLI=moneris && php bin/console do:fi:lo --group=init --group=operator --group=operator_userdata)
# Check the table ‘payment_card_types'.

*Expected result:*

All the card types (total of 21) should be present for Moneris after running fixtures.

*Actual result:*

There are 3 card types missing from Moneris fixtures. ",,S4,136,,,1
[Report] Settlement Report not generated due to Operator Settlement Service issue,OBN1-19569,Bug,Done,P1 ,Done,12/4/2024 8:29,12/5/2024 7:46,OBN 1.73,HotFix,,,,"+Error:+
*Operator Settlement Service for reports* and *Operator Settlement Service* to display data on UI are mixed up into one and conflicting right now.
Due to the above issue, there won't be generated any settlement reports (recurring / one time).

+Error message:+

{noformat}Error on generating the report for the report generation request id: 19. Error: [Semantical Error] line 0, col 377 near 'pos.created_at': Error: 'pos' is not defined.{noformat}

The line to pay attention to: [https://gitlab.com/obnglobal/api/-/blob/2c0ab33247701d5e05dd85c3f2ccb9fd3bd04720/src/Service/Payment/Settlement/OperatorSettlementService.php#L74|https://gitlab.com/obnglobal/api/-/blob/2c0ab33247701d5e05dd85c3f2ccb9fd3bd04720/src/Service/Payment/Settlement/OperatorSettlementService.php#L74|smart-link] 

Required:
1. to fix the root cause
2. to retry the Settlement Report: in PROD there is one Settlement Report not generated today, this report will not be generated in the next days, unless the issue is fixed.

!image-20241204-085322.png|width=703,height=288,alt=""image-20241204-085322.png""!

!image-20241204-085347.png|width=1158,height=305,alt=""image-20241204-085347.png""!

*S**_ee attachments_*_:_ Operator_Settlement_Fix.patch",,,130,,,2
Logs and alerts not working in production,OBN1-19396,Bug,Done,P1 ,Done,11/20/2024 13:34,11/20/2024 14:40,OBN 1.72,HotFix,Tech-debt,,,"In one of the tasks deployed within {{release-v1.71}}, *monolog* config was changed in a wrong way for production environment by mistake.

We need to restore it to the previous version.",,,129,,,1
Upload of CSV is not working in Firefox,OBN1-19232,Bug,Done,P2,Done,11/6/2024 13:43,11/8/2024 9:35,OBN 1.71,,,,,"During exploratory testing it was noticed that CSV files cannot be uploaded on portal while using Firefox.

*This happens on all pages that have the possibility to upload a CSV file.*



STEPS TO REPRODUCE:

# Login to portal
# Open a page that offers the possibility to upload a CSV (for example [http://local.operator/settings/mccs/compliance-settings|http://local.operator/settings/mccs/compliance-settings])
# Upload a valid CSV file



EXPECTED:

# CSV to be successfully uploaded



ACTUAL

# Error “csv file is expected” is displayed
# CSV is not uploaded





!image-20241106-143604.png|width=1601,height=506,alt=""image-20241106-143604.png""!",,,128,,,1
[Xero] Payments created in Xero have incorrect date,OBN1-19226,Bug,Done,P3,Done,11/5/2024 13:09,11/13/2024 9:50,OBN 1.72,,,,,"Payments that are created in Xero have payment date set as first day of next month. Expected payment date should be the same day as the invoice issue date - last day of month for which invoice is created.



STEPS TO REPRODUCE:

# Perform transactions in OBN
# Generate invoices in OBN for a merchant that is synced with Xero
# Execute the xero-import-merchant-invoices command



EXPECTED:

# Payments created in Xero to have the same date as “issue date” of Xero invoice (example: 31.10.2024)



ACTUAL

# Payment date is set as first day of next month (example: 01.11.2024)",,,129,,,1
 Bambora payment file that was not processed properly,OBN1-19135,Bug,Done,P1 ,Done,10/31/2024 7:03,11/1/2024 13:51,OBN 1.71,,,,,"Hi Ramona,

The Bambora payment file 20241030145754_OBNGLOBAL_GBP.csv was downloaded from the SFTP site by the OBN platform yesterday but it did not process any of the transactions.

# We need this file process ASAP because we owe merchants the money.
# We need to know why it didn’t process so we can make a fix if required.

Background:

* Bambora had a delay in sending the payment file with the Value Date of 29 October.  That is this file identified above.
* The money was received at 6:28am on 29^th^ with the correct amount and payment reference, and it triggered the Starling webhook. The transaction payload was

_""fpid"": ""27280554826096F4SW1020241029826400530     "", ""type"": ""SIP"", ""reference"": ""_*_BAMB241029500448_*_"", ""addressUid"": ""c6ccab7f-e48e-49ca-b4cb-85f1901423eb"", ""paymentUid"": ""022433c4-8c1c-49c0-adec-598e43da3e9c"", ""receivedAt"": ""2024-10-29T06:28:47.000Z"", ""returnDetails"": [], ""sourceAccount"": {""sortCode"": ""404865"", ""accountName"": ""BAMBORA AB"", ""accountNumber"": ""62617023""}, ""instructedAmount"": {""currency"": ""GBP"", ""minorUnits"": 3863325}, ""settlementAmount"": {""currency"": ""GBP"", ""minorUnits"":_ *_3863325_*_}, ""deadlineForReturn"": ""2024-10-30T17:00:00.000Z"", ""fpsSettlementDate"": ""2024-10-28"", ""paymentAccountUid"": ""4cd7d64d-b215-46c4-9b02-23df2afca522"", ""destinationAccount"": {""sortCode"": ""040059"", ""accountName"": ""OBN GLOBAL LIMITED 90019548"", ""accountNumber"": ""84412288""}, ""paymentBusinessUid"": ""c5fc3552-c21b-4ee6-a42b-dc7f49508bec"", ""settlementCycleUid"": ""ce278aa2-92b2-4dce-8db5-b1841b1f61a4"", ""fpsSettlementCycleId"": ""CYCLE_003""}_

* They finally sent the file on 30 October, a day late, and it was received *after* the normal payment file for 30^th^.
** i.e. the files were received out of sequence. The file with the value date of 29^th^ has a date/time later than the file with a value date of the 30^th^… and by the time we received the file from 29^th^ we had probably already processed the file for 30^th^ – see this image of when OBN download the files…



!image-20241031-070456.png|width=657,height=249,alt=""image-20241031-070456.png""!



 

Here is the import and processing records – there is no record that the system even tried to import the file of 29^th^…



!image-20241031-070519.png|width=668,height=196,alt=""image-20241031-070519.png""!



Thoughts:

# Why did devops not get notified that the payment file was not processed? It had been downloaded, we already had received the money, and the reference and value matched. We can never have the case where a payment file is not processed and we are not notified.
# Does the OBN platform not process a file for a historic date that is out of sequence, even if it has not been processed? If this is the case, we need to remove that validation.

___________________________________________________________________________

David investigation:



I don’t believe it will import a file with the same date in the file name which has already been processed due to:

src/Repository/Payment/BamboraPaymentRepository.php

findMaxDateGroupByBamboraMid() returning *2024-10-30*;

 

src/Command/Payment/Bambora/SettlementReport/BamboraImportPaymentsCommand.php

shouldImportReport() checking if *2024-10-30* (the date in the file name) is different to the maxDate *2024-10-30* which it isn’t so it will return false and not Import the file

Thanks,

_______________________________________________________

Thanks Dave.

Ramona – if that is the problem, we need to redo that validation, but more urgently we need to get the file processed. I’m not sure if we have a production command that forces processing overriding any validation below that Dave highlighted if that is what stopped it.

We probably also want some slightly different logic in the processing cronjob that makes the ‘Processed Date’ of the transaction to be set to the later date of ‘Value Date’ or the time the money arrived – and not the date it was actually processed. This will allow us to process files that arrive late, and still settle with the delay they would have had if they had arrived on time. Ie. Tuesday’s file that arrived a day late and was processed on Wednesday, should have the transaction processed date of Tuesday. But this can wait as a follow on change – we need to get the current file processed.",,,128,,,3
debt_to_referrer_units is not covered after processing a bambora positive chargeback,OBN1-19038,Bug,Done,P2,Done,10/22/2024 13:31,10/30/2024 12:37,OBN 1.71,,,,,"When a merchant has debt_to_obn_units and debt_to_referrer_units and a positive chargeback is processed, debt to referrer is not covered by that chargeback



STEPS TO REPRODUCE:

# Set debt_to_obn_units of merchant as 500
# Set debt_to_referrer_units of merchants as 250
# Process a positive chargeback with amount bigger than 500



EXPECTED:

# debt_to_obn_units to be covered
# debt_to_referrer_units to be covered



ACTUAL:

# only debt_to_obn_units is covered by chargeback, referrer debt remains uncovered.",,,128,,,2
"""Reporting period"" in Invoice PDF has incorrect value",OBN1-18977,Bug,Done,P2,Done,10/16/2024 15:04,11/8/2024 9:10,OBN 1.71,,,,,"Reporting Period displayed in PDF has incorrect value, compared to UI



STEPS TO REPRODUCE:

# Make sure the operator timezone in env. file is set to Europe/London
# Generate reports ( you can do it using php bin/console obn:invoices:generate-for-merchants --force)
# Download the PDF



EXPECTED:

# Reporting period to have range firstDayOfMonth - lastDayOfMonth

ACTUAL:

# Reporting date is taken from DB, which has the date adjusted to UTC
!image-20241016-140758.png|width=1186,height=600,alt=""image-20241016-140758.png""!



!image-20241016-140725.png|width=540,height=622,alt=""image-20241016-140725.png""!

In UI the range is displayed correctly:


!image-20241016-140835.png|width=1934,height=280,alt=""image-20241016-140835.png""!",stage,,128,,,1
[Bambora] Records not created in the 'payment_bambora_chargeback_payments' table when a positive chargeback is processed,OBN1-18938,Bug,Done,P2,Done,10/11/2024 9:42,7/15/2025 13:55,OBN 1.89,NoShow,,,,"*Steps to reproduce:*

# A payment file which contains positive disputes exist and is being processed.
# Payment file has id of “REMAINS_DEDUCTED” status in “payment_bambora_payments.status_id” column.
# The php bin/console bambora:process:positive:chargebacks command is run.

*Expected result:*

Records are created in the 'payment_bambora_chargeback_payments' table.

*Actual result:*

Records are not created in the 'payment_bambora_chargeback_payments' table.",,S4,146,,,2
"External login returns 500 internal server error if referrer has subdomain set as ""null""",OBN1-18927,Bug,To Do,P1 ,,10/10/2024 10:02,,,,,,,"If a referrer has payment_referrers.subdomain value set as NULL, a 500 error is being returned on attempt to externally login



{color:#ff5630}*Can be reproduced on stage as well (this means that on prod also)*{color}



STEPS TO REPRODUCE:

# Enable external api for a referrer
# Set the subdomain of the referrer as NULL
# Generate the API secret
# Login via /ext-ref/login endpoint



EXPECTED:
1. Token to be retrieved



ACTUAL:
1. 500 Internal server error is received



!image-20241010-090528.png|width=1034,height=166,alt=""image-20241010-090528.png""!



!image-20241010-090548.png|width=667,height=187,alt=""image-20241010-090548.png""!",,,,,,
"""Company legal name"" dropdown does not display company name if entire name is pasted first time",OBN1-18870,Bug,Done,P3,Done,10/3/2024 16:14,12/3/2024 12:58,OBN 1.73,,,,,"The steps to reproduce are a bit confusing if shown with screenshots, therefore a video was recorded



Short description: If in company legal name you enter the full name of the searched company, it will not show you the result from qed, even if in qed response that company is present. Most probably the dropdown shows only unique values, it thinking that the response from qed is a duplicate.



!bug demo companyh legal name dropdown.mp4|width=1678,height=894,alt=""bug demo companyh legal name dropdown.mp4""!

shorter video demonstrating how the result from QED is not shown when full name entered:





!obn - Google Chrome 2024-10-16 18-04-50.mp4|width=1920,height=1032,alt=""obn - Google Chrome 2024-10-16 18-04-50.mp4""!",,,130,,,1
